Voltaje_Cen_0,Voltaje_Cen_1,Voltaje_Cen_2,Voltaje_Cen_3,Voltaje_Cen_4,Voltaje_Ext_0,Voltaje_Ext_1,Voltaje_Ext_2,Voltaje_Ext_3,Voltaje_Ext_4
0.52,0.52,0.48,0.52,0.52,4.32,4.32,4.4,4.4,4.32
0.52,0.52,0.48,0.48,0.52,4.4,4.4,4.4,4.32,4.4
0.52,0.52,0.52,0.48,0.52,4.32,4.32,4.32,4.32,4.32
0.52,0.48,0.48,0.52,0.52,4.32,4.4,4.4,4.32,4.32
0.52,0.48,0.52,0.48,0.52,4.32,4.32,4.32,4.32,4.4
0.48,0.52,0.52,0.52,0.52,4.32,4.32,4.32,4.4,4.32
0.4,0.48,0.44,0.52,0.52,4.32,4.4,4.32,4.32,4.32
0.44,0.44,0.44,0.4,0.4,4.32,4.48,4.32,4.48,4.48
0.48,0.44,0.48,0.44,0.44,4.48,4.4,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.48,4.4,4.4,4.4,4.4
0.48,0.44,0.48,0.48,0.48,4.4,4.4,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.52,4.4,4.4,4.32,4.32,4.32
0.48,0.52,0.48,0.48,0.48,4.32,4.4,4.32,4.32,4.32
0.52,0.48,0.48,0.48,0.48,4.4,4.32,4.32,4.32,4.4
0.52,0.48,0.52,0.52,0.48,4.32,4.4,4.4,4.32,4.4
0.48,0.52,0.52,0.52,0.48,4.32,4.4,4.32,4.32,4.32
0.52,0.48,0.48,0.48,0.52,4.4,4.4,4.4,4.32,4.32
0.48,0.52,0.52,0.48,0.48,4.4,4.32,4.32,4.4,4.4
0.48,0.52,0.52,0.48,0.48,4.32,4.4,4.32,4.32,4.32
0.48,0.48,0.48,0.52,0.52,4.32,4.32,4.32,4.32,4.4
0.52,0.48,0.52,0.48,0.52,4.32,4.32,4.32,4.4,4.32
0.52,0.48,0.52,0.48,0.48,4.32,4.32,4.32,4.4,4.4
0.52,0.52,0.52,0.52,0.52,4.32,4.32,4.32,4.4,4.4
0.52,0.52,0.52,0.52,0.48,4.4,4.32,4.4,4.32,4.4
0.52,0.48,0.48,0.52,0.52,4.32,4.32,4.32,4.32,4.32
0.52,0.48,0.52,0.52,0.52,4.32,4.32,4.32,4.32,4.32
0.52,0.52,0.48,0.52,0.52,4.32,4.32,4.32,4.32,4.32
0.48,0.52,0.48,0.48,0.48,4.4,4.4,4.32,4.32,4.32
0.52,0.52,0.52,0.52,0.48,4.32,4.4,4.4,4.32,4.32
0.52,0.48,0.52,0.52,0.52,4.4,4.32,4.32,4.32,4.32
0.52,0.52,0.52,0.52,0.52,4.32,4.32,4.4,4.32,4.32
0.44,0.52,0.28,0.52,0.48,4.32,4.32,4.32,4.4,4.32
0.44,0.44,0.44,0.36,0.4,4.32,4.4,4.48,4.48,4.48
0.48,0.44,0.48,0.48,0.44,4.4,4.4,4.4,4.4,4.4
0.44,0.48,0.48,0.48,0.44,4.48,4.4,4.4,4.4,4.4
0.48,0.52,0.48,0.48,0.48,4.4,4.4,4.32,4.4,4.32
0.48,0.48,0.48,0.48,0.48,4.4,4.32,4.4,4.32,4.32
0.48,0.48,0.48,0.48,0.48,4.32,4.4,4.4,4.4,4.32
0.52,0.48,0.48,0.52,0.48,4.32,4.32,4.32,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.32,4.32,4.4,4.4,4.32
0.48,0.48,0.48,0.48,0.48,4.4,4.32,4.4,4.32,4.4
0.48,0.52,0.48,0.48,0.48,4.32,4.4,4.32,4.32,4.4
0.48,0.48,0.48,0.48,0.48,4.32,4.4,4.32,4.32,4.4
0.52,0.52,0.48,0.52,0.48,4.4,4.32,4.4,4.32,4.4
0.48,0.48,0.48,0.48,0.48,4.32,4.4,4.4,4.32,4.4
0.52,0.52,0.52,0.48,0.48,4.32,4.4,4.32,4.32,4.32
0.52,0.52,0.52,0.48,0.48,4.4,4.4,4.4,4.32,4.4
0.48,0.52,0.48,0.52,0.48,4.32,4.32,4.32,4.32,4.32
0.52,0.52,0.52,0.48,0.48,4.32,4.32,4.4,4.32,4.32
0.52,0.48,0.52,0.48,0.52,4.4,4.4,4.4,4.32,4.32
0.48,0.48,0.48,0.52,0.52,4.32,4.32,4.32,4.32,4.4
0.52,0.52,0.52,0.52,0.48,4.4,4.32,4.32,4.32,4.32
0.52,0.52,0.52,0.48,0.52,4.32,4.32,4.32,4.32,4.32
0.52,0.52,0.52,0.52,0.48,4.32,4.32,4.32,4.32,4.32
0.56,0.48,0.48,0.52,0.52,4.32,4.32,4.32,4.32,4.32
0.52,0.48,0.52,0.52,0.52,4.32,4.4,4.32,4.32,4.32
0.2,0.36,0.36,0.52,0.52,4.32,4.32,4.32,4.32,4.32
0.4,0.48,0.44,0.4,0.4,4.4,4.56,4.4,4.4,4.4
0.48,0.48,0.48,0.44,0.48,4.4,4.4,4.4,4.4,4.4
0.44,0.48,0.48,0.48,0.48,4.4,4.4,4.4,4.4,4.4
0.52,0.48,0.48,0.48,0.48,4.4,4.4,4.32,4.4,4.32
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.32,4.4,4.32
0.48,0.48,0.48,0.48,0.48,4.32,4.4,4.32,4.4,4.4
0.48,0.48,0.48,0.48,0.52,4.4,4.4,4.32,4.4,4.32
0.48,0.48,0.48,0.52,0.48,4.32,4.32,4.4,4.32,4.32
0.52,0.48,0.48,0.48,0.48,4.32,4.32,4.32,4.32,4.4
0.48,0.48,0.52,0.52,0.48,4.4,4.4,4.32,4.4,4.4
0.48,0.52,0.52,0.48,0.48,4.32,4.32,4.4,4.32,4.32
0.52,0.52,0.52,0.48,0.52,4.32,4.4,4.32,4.32,4.4
0.52,0.52,0.48,0.48,0.52,4.32,4.32,4.32,4.32,4.32
0.52,0.52,0.52,0.48,0.52,4.4,4.4,4.32,4.4,4.32
0.48,0.48,0.52,0.52,0.48,4.4,4.32,4.32,4.32,4.4
0.52,0.48,0.52,0.48,0.48,4.4,4.32,4.32,4.32,4.4
0.48,0.56,0.52,0.48,0.52,4.32,4.32,4.32,4.32,4.4
0.48,0.52,0.48,0.52,0.56,4.32,4.32,4.4,4.32,4.32
0.52,0.52,0.52,0.52,0.48,4.32,4.32,4.32,4.32,4.32
0.48,0.52,0.52,0.52,0.52,4.32,4.32,4.32,4.32,4.32
0.52,0.48,0.48,0.48,0.48,4.32,4.32,4.32,4.32,4.32
0.48,0.48,0.52,0.48,0.48,4.32,4.32,4.32,4.32,4.32
0.52,0.52,0.52,0.52,0.52,4.32,4.4,4.32,4.4,4.4
0.52,0.48,0.52,0.52,0.48,4.32,4.32,4.32,4.32,4.32
0.36,0.4,0.4,0.52,0.52,4.32,4.32,4.32,4.32,4.32
0.44,0.44,0.44,0.44,0.44,4.48,4.48,4.4,4.64,4.48
0.48,0.44,0.48,0.44,0.48,4.4,4.4,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.4,4.32,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.32,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.4,4.4,4.4
0.52,0.48,0.48,0.48,0.48,4.4,4.32,4.4,4.4,4.32
0.48,0.48,0.52,0.48,0.48,4.4,4.32,4.4,4.4,4.4
0.52,0.48,0.48,0.48,0.48,4.4,4.4,4.4,4.4,4.32
0.48,0.48,0.48,0.48,0.48,4.32,4.32,4.32,4.32,4.32
0.52,0.48,0.48,0.48,0.48,4.4,4.32,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.52,4.32,4.32,4.32,4.4,4.32
0.48,0.48,0.48,0.52,0.48,4.32,4.4,4.32,4.32,4.4
0.48,0.48,0.52,0.48,0.52,4.32,4.4,4.32,4.4,4.32
0.52,0.52,0.48,0.48,0.48,4.4,4.32,4.32,4.32,4.32
0.52,0.52,0.48,0.52,0.52,4.32,4.32,4.4,4.32,4.4
0.48,0.52,0.52,0.48,0.52,4.32,4.32,4.4,4.32,4.32
0.52,0.48,0.48,0.48,0.52,4.32,4.4,4.32,4.32,4.32
0.48,0.52,0.48,0.52,0.52,4.4,4.4,4.32,4.32,4.32
0.52,0.52,0.52,0.52,0.52,4.4,4.32,4.32,4.4,4.32
0.48,0.52,0.52,0.52,0.48,4.32,4.32,4.32,4.32,4.32
0.48,0.52,0.48,0.52,0.48,4.32,4.32,4.32,4.32,4.4
0.52,0.52,0.48,0.52,0.52,4.32,4.32,4.32,4.32,4.32
0.52,0.52,0.52,0.52,0.52,4.32,4.32,4.4,4.32,4.4
0.52,0.52,0.48,0.52,0.52,4.32,4.32,4.32,4.32,4.32
0.4,0.4,0.44,0.32,0.32,4.32,4.4,4.32,4.32,4.32
0.44,0.44,0.48,0.44,0.44,4.56,4.4,4.4,4.48,4.56
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.4,4.32,4.4,4.4,4.4
0.48,0.48,0.48,0.44,0.48,4.4,4.4,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.32,4.4,4.32
0.52,0.48,0.48,0.48,0.48,4.32,4.4,4.4,4.4,4.4
0.48,0.48,0.52,0.52,0.48,4.4,4.4,4.4,4.32,4.32
0.48,0.48,0.52,0.48,0.48,4.32,4.4,4.32,4.32,4.4
0.48,0.52,0.52,0.48,0.48,4.4,4.32,4.32,4.4,4.4
0.52,0.52,0.48,0.48,0.48,4.4,4.32,4.32,4.4,4.32
0.48,0.48,0.48,0.48,0.48,4.4,4.32,4.32,4.32,4.4
0.52,0.52,0.48,0.48,0.48,4.4,4.32,4.32,4.32,4.4
0.48,0.52,0.52,0.52,0.52,4.32,4.32,4.32,4.4,4.32
0.52,0.52,0.48,0.48,0.48,4.4,4.4,4.32,4.32,4.32
0.52,0.52,0.48,0.48,0.48,4.4,4.32,4.4,4.32,4.32
0.52,0.52,0.48,0.52,0.48,4.4,4.32,4.32,4.32,4.32
0.48,0.52,0.52,0.52,0.52,4.4,4.32,4.4,4.32,4.32
0.48,0.48,0.52,0.52,0.52,4.32,4.32,4.32,4.4,4.4
0.52,0.48,0.48,0.52,0.52,4.32,4.32,4.4,4.32,4.32
0.48,0.48,0.52,0.52,0.52,4.32,4.32,4.4,4.32,4.32
0.52,0.56,0.52,0.52,0.48,4.32,4.32,4.32,4.32,4.4
0.52,0.52,0.52,0.52,0.52,4.32,4.4,4.32,4.32,4.32
0.52,0.52,0.52,0.52,0.52,4.32,4.32,4.4,4.32,4.32
0.52,0.52,0.48,0.52,0.52,4.4,4.32,4.32,4.32,4.4
0.4,0.44,0.4,0.36,0.4,4.32,4.4,4.32,4.32,4.32
0.48,0.48,0.44,0.4,0.44,4.48,4.48,4.56,4.4,4.48
0.48,0.48,0.48,0.48,0.44,4.4,4.4,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.32,4.4,4.4,4.4,4.32
0.48,0.48,0.48,0.48,0.48,4.4,4.32,4.4,4.32,4.4
0.48,0.48,0.48,0.48,0.48,4.32,4.32,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.32,4.4,4.4,4.32,4.4
0.48,0.48,0.48,0.52,0.48,4.4,4.4,4.4,4.4,4.32
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.4,4.4,4.32
0.48,0.48,0.48,0.48,0.48,4.4,4.32,4.32,4.32,4.4
0.48,0.48,0.48,0.48,0.48,4.4,4.32,4.4,4.4,4.4
0.52,0.52,0.48,0.48,0.48,4.4,4.32,4.4,4.4,4.32
0.48,0.52,0.52,0.52,0.48,4.4,4.4,4.32,4.4,4.32
0.48,0.52,0.52,0.48,0.48,4.32,4.32,4.32,4.32,4.32
0.52,0.48,0.48,0.48,0.52,4.32,4.32,4.32,4.4,4.32
0.52,0.52,0.48,0.52,0.48,4.32,4.32,4.32,4.32,4.4
0.52,0.48,0.52,0.52,0.52,4.32,4.32,4.32,4.32,4.32
0.48,0.52,0.48,0.52,0.56,4.4,4.4,4.32,4.32,4.32
0.52,0.52,0.48,0.48,0.48,4.4,4.32,4.4,4.4,4.4
0.48,0.52,0.52,0.48,0.52,4.24,4.32,4.32,4.32,4.4
0.52,0.52,0.52,0.48,0.52,4.32,4.32,4.32,4.32,4.4
0.52,0.52,0.48,0.48,0.52,4.32,4.32,4.32,4.4,4.32
0.48,0.52,0.52,0.52,0.52,4.32,4.32,4.4,4.32,4.32
0.52,0.48,0.52,0.52,0.52,4.32,4.32,4.32,4.32,4.32
0.52,0.52,0.36,0.52,0.52,4.4,4.32,4.32,4.32,4.32
0.44,0.32,0.44,0.4,0.44,4.32,4.32,4.4,4.32,4.32
0.48,0.44,0.48,0.44,0.48,4.48,4.48,4.56,4.4,4.48
0.48,0.48,0.48,0.44,0.44,4.32,4.4,4.4,4.4,4.4
0.48,0.44,0.52,0.44,0.48,4.4,4.32,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.4,4.4,4.32
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.32,4.4,4.4
0.52,0.48,0.48,0.48,0.48,4.4,4.32,4.4,4.32,4.32
0.48,0.48,0.52,0.48,0.48,4.4,4.4,4.32,4.4,4.32
0.48,0.48,0.48,0.48,0.52,4.32,4.32,4.32,4.32,4.4
0.48,0.48,0.48,0.48,0.52,4.32,4.32,4.32,4.4,4.4
0.48,0.52,0.52,0.48,0.52,4.4,4.32,4.32,4.32,4.32
0.48,0.52,0.52,0.52,0.52,4.32,4.4,4.32,4.32,4.32
0.48,0.52,0.52,0.48,0.48,4.32,4.4,4.32,4.32,4.4
0.52,0.52,0.52,0.48,0.52,4.32,4.32,4.4,4.32,4.32
0.52,0.48,0.48,0.48,0.52,4.4,4.4,4.32,4.32,4.32
0.48,0.52,0.52,0.52,0.48,4.32,4.32,4.32,4.32,4.32
0.52,0.52,0.48,0.48,0.48,4.4,4.32,4.32,4.32,4.32
0.52,0.52,0.48,0.52,0.52,4.32,4.4,4.4,4.32,4.32
0.52,0.52,0.48,0.52,0.52,4.32,4.32,4.32,4.4,4.32
0.52,0.48,0.48,0.52,0.52,4.32,4.32,4.4,4.32,4.32
0.52,0.52,0.52,0.48,0.52,4.4,4.32,4.4,4.32,4.32
0.52,0.52,0.52,0.52,0.52,4.32,4.32,4.32,4.4,4.32
0.52,0.52,0.52,0.48,0.48,4.32,4.32,4.32,4.32,4.32
0.52,0.48,0.52,0.52,0.52,4.32,4.32,4.32,4.32,4.32
0.36,0.48,0.4,0.52,0.52,4.32,4.32,4.32,4.32,4.32
0.44,0.36,0.44,0.44,0.44,4.32,4.48,4.4,4.32,4.32
0.48,0.44,0.48,0.48,0.44,4.56,4.48,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.32,4.4,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.32,4.4,4.4
0.48,0.52,0.52,0.48,0.48,4.4,4.4,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.52,4.32,4.32,4.32,4.4,4.4
0.48,0.48,0.52,0.52,0.48,4.4,4.4,4.4,4.4,4.4
0.52,0.52,0.52,0.52,0.48,4.32,4.32,4.32,4.4,4.32
0.48,0.52,0.52,0.48,0.48,4.4,4.32,4.32,4.32,4.32
0.48,0.48,0.52,0.48,0.52,4.32,4.32,4.32,4.4,4.4
0.48,0.52,0.52,0.48,0.48,4.4,4.32,4.32,4.32,4.32
0.48,0.52,0.48,0.48,0.48,4.32,4.32,4.32,4.32,4.32
0.48,0.52,0.48,0.48,0.52,4.32,4.32,4.32,4.4,4.32
0.56,0.48,0.48,0.48,0.48,4.4,4.32,4.4,4.32,4.32
0.52,0.52,0.52,0.52,0.48,4.32,4.32,4.32,4.32,4.32
0.48,0.48,0.52,0.48,0.52,4.4,4.32,4.32,4.4,4.4
0.52,0.48,0.52,0.48,0.48,4.4,4.32,4.4,4.32,4.4
0.52,0.52,0.52,0.52,0.52,4.4,4.32,4.32,4.32,4.32
0.48,0.56,0.48,0.52,0.48,4.4,4.32,4.4,4.32,4.4
0.56,0.52,0.52,0.48,0.48,4.32,4.32,4.32,4.32,4.32
0.52,0.52,0.52,0.48,0.52,4.4,4.4,4.32,4.32,4.32
0.48,0.52,0.52,0.48,0.48,4.32,4.32,4.32,4.32,4.32
0.52,0.48,0.52,0.52,0.48,4.32,4.32,4.32,4.32,4.32
0.4,0.52,0.4,0.52,0.52,4.32,4.4,4.32,4.4,4.32
0.48,0.4,0.48,0.2,0.44,4.4,4.48,4.32,4.56,4.32
0.44,0.44,0.48,0.44,0.48,4.48,4.4,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.48,4.4,4.4,4.32,4.32
0.48,0.48,0.48,0.48,0.52,4.4,4.32,4.32,4.4,4.4
0.48,0.48,0.52,0.48,0.48,4.32,4.4,4.32,4.4,4.4
0.52,0.48,0.48,0.48,0.48,4.32,4.32,4.4,4.4,4.4
0.52,0.52,0.52,0.48,0.48,4.4,4.4,4.32,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.4,4.32,4.4
0.48,0.48,0.48,0.48,0.48,4.4,4.32,4.32,4.32,4.4
0.48,0.48,0.52,0.52,0.48,4.32,4.32,4.4,4.32,4.4
0.48,0.48,0.52,0.48,0.52,4.32,4.32,4.32,4.4,4.32
0.52,0.52,0.48,0.52,0.48,4.32,4.32,4.32,4.32,4.4
0.52,0.48,0.52,0.52,0.48,4.4,4.32,4.32,4.32,4.32
0.48,0.52,0.52,0.52,0.48,4.32,4.32,4.4,4.32,4.32
0.52,0.48,0.52,0.48,0.52,4.32,4.4,4.32,4.32,4.4
0.48,0.52,0.52,0.52,0.48,4.4,4.32,4.32,4.32,4.32
0.52,0.48,0.52,0.48,0.52,4.4,4.32,4.32,4.32,4.32
0.52,0.52,0.52,0.52,0.56,4.32,4.4,4.32,4.32,4.32
0.48,0.52,0.52,0.52,0.56,4.32,4.4,4.32,4.32,4.4
0.52,0.52,0.52,0.52,0.48,4.32,4.32,4.4,4.32,4.4
0.52,0.48,0.52,0.52,0.48,4.32,4.32,4.32,4.32,4.32
0.48,0.52,0.52,0.52,0.52,4.32,4.32,4.32,4.4,4.4
0.44,0.52,0.4,0.52,0.36,4.4,4.32,4.4,4.32,4.32
0.48,0.44,0.48,0.36,0.44,4.32,4.4,4.32,4.48,4.32
0.48,0.48,0.48,0.44,0.44,4.48,4.4,4.4,4.4,4.56
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.4,4.4,4.32
0.48,0.48,0.48,0.48,0.48,4.4,4.32,4.4,4.32,4.32
0.48,0.48,0.48,0.52,0.48,4.4,4.32,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.4,4.4,4.4
0.52,0.52,0.48,0.48,0.48,4.32,4.4,4.32,4.4,4.4
0.48,0.48,0.52,0.48,0.52,4.4,4.32,4.32,4.4,4.4
0.48,0.48,0.48,0.52,0.52,4.32,4.4,4.32,4.4,4.32
0.48,0.52,0.48,0.48,0.48,4.32,4.4,4.4,4.4,4.32
0.52,0.48,0.52,0.48,0.48,4.32,4.32,4.4,4.32,4.4
0.52,0.52,0.48,0.48,0.52,4.4,4.32,4.4,4.32,4.32
0.48,0.52,0.52,0.52,0.52,4.4,4.32,4.4,4.32,4.4
0.48,0.52,0.52,0.48,0.52,4.4,4.32,4.32,4.32,4.32
0.48,0.52,0.52,0.52,0.48,4.32,4.32,4.32,4.4,4.4
0.52,0.52,0.48,0.48,0.52,4.32,4.32,4.4,4.32,4.32
0.48,0.48,0.48,0.52,0.48,4.4,4.4,4.32,4.32,4.32
0.48,0.52,0.48,0.52,0.48,4.32,4.32,4.32,4.32,4.32
0.48,0.48,0.52,0.52,0.48,4.4,4.32,4.32,4.4,4.4
0.48,0.48,0.52,0.52,0.52,4.4,4.32,4.4,4.32,4.32
0.52,0.52,0.52,0.52,0.52,4.32,4.4,4.32,4.32,4.32
0.52,0.52,0.52,0.48,0.52,4.32,4.32,4.4,4.32,4.4
0.52,0.52,0.52,0.48,0.48,4.32,4.4,4.32,4.32,4.4
0.48,0.52,0.52,0.52,0.52,4.32,4.32,4.32,4.32,4.32
0.44,0.52,0.32,0.52,0.4,4.32,4.32,4.32,4.32,4.32
0.48,0.44,0.44,0.4,0.44,4.32,4.4,4.48,4.48,4.32
0.48,0.44,0.48,0.44,0.48,4.4,4.4,4.4,4.4,4.48
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.4,4.32,4.32,4.32,4.4
0.48,0.48,0.48,0.48,0.48,4.32,4.4,4.4,4.4,4.32
0.48,0.48,0.48,0.52,0.48,4.4,4.4,4.4,4.32,4.32
0.48,0.52,0.48,0.48,0.48,4.32,4.4,4.4,4.32,4.4
0.48,0.52,0.48,0.48,0.48,4.4,4.4,4.32,4.32,4.32
0.52,0.48,0.52,0.48,0.48,4.32,4.32,4.4,4.32,4.4
0.48,0.52,0.48,0.52,0.48,4.32,4.4,4.32,4.32,4.32
0.48,0.52,0.48,0.48,0.52,4.32,4.4,4.32,4.32,4.32
0.52,0.52,0.48,0.52,0.48,4.32,4.4,4.32,4.32,4.32
0.48,0.52,0.48,0.52,0.52,4.32,4.32,4.4,4.32,4.32
0.48,0.52,0.48,0.52,0.52,4.32,4.32,4.32,4.32,4.32
0.52,0.52,0.52,0.52,0.52,4.4,4.32,4.4,4.32,4.32
0.52,0.52,0.52,0.52,0.48,4.4,4.32,4.4,4.4,4.4
0.48,0.48,0.48,0.52,0.48,4.32,4.4,4.32,4.32,4.4
0.52,0.52,0.52,0.48,0.52,4.4,4.32,4.32,4.4,4.32
0.48,0.48,0.52,0.52,0.48,4.4,4.32,4.32,4.32,4.32
0.48,0.52,0.52,0.52,0.52,4.32,4.32,4.32,4.32,4.32
0.52,0.52,0.52,0.52,0.52,4.32,4.32,4.32,4.32,4.32
0.52,0.48,0.52,0.52,0.52,4.32,4.4,4.32,4.32,4.4
0.52,0.52,0.52,0.48,0.48,4.32,4.4,4.4,4.32,4.32
0.52,0.52,0.52,0.52,0.48,4.32,4.32,4.32,4.32,4.32
0.28,0.36,0.4,0.52,0.4,4.32,4.32,4.32,4.32,4.32
0.44,0.44,0.44,0.4,0.44,4.32,4.56,4.4,4.4,4.4
0.48,0.44,0.44,0.48,0.48,4.48,4.4,4.4,4.4,4.48
0.48,0.44,0.48,0.48,0.48,4.4,4.4,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.4,4.32,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.32,4.4,4.32,4.32,4.32
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.32,4.32,4.4
0.48,0.48,0.48,0.48,0.48,4.32,4.32,4.32,4.4,4.32
0.52,0.52,0.48,0.48,0.48,4.4,4.32,4.32,4.32,4.32
0.48,0.48,0.52,0.52,0.52,4.32,4.4,4.4,4.4,4.32
0.48,0.48,0.48,0.52,0.48,4.4,4.32,4.4,4.4,4.32
0.52,0.52,0.52,0.52,0.52,4.32,4.32,4.32,4.4,4.32
0.48,0.52,0.52,0.52,0.48,4.32,4.4,4.4,4.32,4.32
0.48,0.48,0.48,0.48,0.52,4.32,4.4,4.32,4.32,4.4
0.48,0.48,0.48,0.48,0.52,4.4,4.32,4.32,4.4,4.4
0.52,0.48,0.48,0.52,0.48,4.32,4.32,4.32,4.32,4.32
0.52,0.52,0.48,0.48,0.52,4.32,4.4,4.32,4.4,4.32
0.52,0.52,0.48,0.52,0.52,4.32,4.4,4.4,4.4,4.32
0.52,0.52,0.48,0.48,0.52,4.32,4.32,4.32,4.32,4.32
0.52,0.52,0.52,0.48,0.52,4.32,4.4,4.32,4.32,4.32
0.52,0.52,0.52,0.48,0.52,4.32,4.32,4.32,4.32,4.32
0.52,0.52,0.48,0.52,0.48,4.32,4.4,4.32,4.32,4.32
0.52,0.52,0.52,0.52,0.52,4.4,4.32,4.32,4.32,4.32
0.52,0.52,0.52,0.52,0.52,4.32,4.32,4.32,4.32,4.4
0.52,0.52,0.48,0.56,0.52,4.32,4.32,4.32,4.32,4.32
0.36,0.4,0.4,0.52,0.44,4.32,4.4,4.32,4.32,4.32
0.44,0.48,0.44,0.44,0.48,4.48,4.48,4.4,4.56,4.32
0.48,0.48,0.48,0.44,0.44,4.4,4.4,4.4,4.4,4.48
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.4,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.4,4.4,4.32,4.4,4.32
0.52,0.48,0.48,0.48,0.52,4.4,4.32,4.4,4.32,4.32
0.48,0.48,0.48,0.48,0.48,4.4,4.32,4.32,4.4,4.4
0.48,0.48,0.48,0.48,0.48,4.32,4.4,4.4,4.32,4.32
0.52,0.48,0.52,0.48,0.52,4.32,4.32,4.4,4.4,4.4
0.48,0.52,0.52,0.48,0.48,4.4,4.32,4.32,4.32,4.4
0.48,0.52,0.48,0.48,0.48,4.4,4.32,4.32,4.32,4.4
0.48,0.52,0.48,0.48,0.48,4.4,4.32,4.4,4.4,4.32
0.48,0.52,0.52,0.48,0.48,4.32,4.32,4.32,4.32,4.32
0.52,0.48,0.52,0.52,0.52,4.32,4.32,4.32,4.32,4.4
0.48,0.52,0.52,0.48,0.52,4.4,4.4,4.32,4.32,4.32
0.48,0.48,0.52,0.52,0.52,4.32,4.4,4.32,4.32,4.4
0.52,0.52,0.52,0.48,0.52,4.4,4.32,4.32,4.4,4.4
0.52,0.52,0.52,0.52,0.48,4.4,4.32,4.4,4.32,4.32
